S/N,Subject Description,Topic ,Text
110.                   ,,Fourth generation,"Fourth generation environments were the first integrated environments. They are sets of tools and workbenches supporting the development of a specific class of program: electronic data processing and business-oriented applications. In general, they include programming tools, simple configuration management tools, document handling facilities and, sometimes, a code generator to produce code in lower level languages. Informix 4GL and Focus fall into this category."
111.                   ,,System Model,Shows the relationships between the system components and the system and its environment. An abstract data model should also be described if appropriate to the type of system.
112.                   ,,Benefits of Spiral Development,v  Delivers initial value early 
,,,·       Mitigates risk of failure 
,,,·       Focus on high-priority functionality 
,,,v  Frequent requirements refinement 
,,,·       Uses feedback from one iteration to refine requirements for the next 
,,,·       Mitigates impact of change 
,,,v  Note: the Spiral model is driven by uncertainty and change 
,,,·       A theme of the whole course
113.                   ,, Phases of Agile Model,Phases of Agile Model includes the following:
,,,1.     Requirements gathering
,,,2.     Design the requirements
,,,3.     Construction/ iteration
,,,4.     Testing/ Quality assurance
,,,5.     Deployment
,,,6.     Feedback
,,,"1.     Requirements gathering: In this phase, you must define the requirements. You should explain business opportunities and plan the time and effort needed to build the project. Based on this information, you can evaluate technical and economic feasibility. "
,,,"2.     Design the requirements: When you have identified the project, work with stakeholders to define requirements. You can use the user flow diagram or the high-level UML diagram to show the work of new features and show how it will apply to your existing system. "
,,,"3.     Construction/ iteration: When the team defines the requirements, the work begins. Designers and developers start working on their project, which aims to deploy a working product. The product will undergo various stages of improvement, so it includes simple, minimal functionality. "
,,,"4.     Testing: In this phase, the Quality Assurance team examines the product's performance and looks for the bug. "
,,,"5.     Deployment: In this phase, the team issues a product for the user's work environment. "
,,,"6.     Feedback: After releasing the product, the last step is feedback. In this, the team receives feedback about the product and works through the feedback."
114.                   ,,CASE Risk,Common CASE risks and associated controls include: 
,,,"·       Inadequate Standardization: Linking CASE tools from different vendors (design tool from Company X, programming tool from Company Y) may be difficult if the products do not use standardized code structures and data classifications. File formats can be converted, but usually not economically. Controls include using tools from the same vendor, or using tools based on standard protocols and insisting on demonstrated compatibility. Additionally, if organizations obtain tools for only a portion of the development process, they should consider acquiring them from a vendor that has a full line of products to ensure future compatibility if they add more tools. "
,,,"·        Unrealistic Expectations: Organizations often implement CASE technologies to reduce development costs. Implementing CASE strategies usually involves high start-up costs. Generally, management must be willing to accept a long-term payback period. Controls include requiring senior managers to define their purpose and strategies for implementing CASE technologies. "
,,,"·       Quick Implementation: Implementing CASE technologies can involve a significant change from traditional development environments. Typically, organizations should not use CASE tools the first time on critical projects or projects with short deadlines because of the lengthy training process. Additionally, organizations should consider using the tools on smaller, less complex projects and gradually implementing the tools to allow more training time. "
,,,"·       Weak Repository Controls : Failure to adequately control access to CASE repositories may result in security breaches or damage to the work documents, system designs, or code modules stored in the repository. Controls include protecting the repositories with appropriate access, version, and backup controls."
115.                   ,,HIPO Diagrams,"The HIPO (Hierarchy plus Input-Process-Output) technique is a tool for planning and/or documenting a computer program. A HIPO model consists of a hierarchy chart that graphically represents the program‘s control structure and a set of IPO (Input-ProcessOutput) charts that describe the inputs to, the outputs from, and the functions (or processes) performed by each module on the hierarchy chart."
116.                   ,,Components of HIPO,"A completed HIPO package has two parts. A hierarchy chart is used to represent the topdown structure of the program. For each module depicted on the hierarchy chart, an IPO (Input-Process-Output) chart is used to describe the inputs to, the outputs from, and the process performed by the module."
,,,·       The hierarchy chart It summarises the primary tasks to be performed by an interactive inventory program. Figure 7 shows one possible hierarchy chart (or visual table of contents) for that program. Each box represents one module that can call its subordinates and return control to its higher-level parent.
,,,·       The IPO charts An IPO chart is prepared to document each of the modules on the hierarchy chart.
117.                   ,,What is Compatibility Testing?,"Software testing comes in different types. Compatibility testing is one of the several types of software testing which can be carried out on a system that is develop based on certain yardsticks and which has to perform definite functionality in an already existing setup/environment. Many things are decided n compatibility of a system/application being developed with, for example, other systems/applications, OS, Network. They include the use of the system/application in that environment, demand of the system/application etc. On many occasions, the reason while users prefer not to go for an application/system cannot be unconnected with it non-compatibility of such application/system with any other system/application, network, hardware or OS they are already using. This explains the reason why the efforts of developers may appear to be in vain. Compatibility testing can also be used to certify compatibility of the system/application/website built with various other objects such as other web browsers, hardware platforms, users, operating systems etc. It helps to find out how well a system performs in a particular environment such as hardware, network; operating system etc. Compatibility testing can be performed manually or with automation tools."
118.                   ,,The Computer Keyboard,"A computer keyboard is identical to the conventional typewriter keyboard. However, it has more keys than the typewriter keyboard. A computer keyboard can be a dummy type or intelligent type. A computer keyboard is considered to be intelligent if, in addition to performing the routine functions characteristic of a typewriter keyboard, it can initiate a series of actions for a computer to carry out by mere pressing a key or combination of two or more keys. Thus, an intelligent computer keyboard has a set of keys which, when one of them is pressed, the computer can be made to carry out a specific function. For example, the pressing of a key may cause the computer to display a menu list from which the user may be prompted to select one."
119.                   ,,Sub-disciplines of Software engineering,Software engineering can be divided into ten sub-disciplines. They are as follows: 
,,,"·       Software requirements: The elicitation, analysis, specification, and validation of requirements for software. "
,,,"·       Software design: Software Design consists of the steps a programmer should do before they start coding the program in a specific language. It is usually done with Computer-Aided Software Engineering (CASE) tools and use standards for the format, such as the Unified Modeling Language (UML). "
,,,·       Software development: It is construction of software through the use of programming languages. 
,,,·       Software testing Software Testing is an empirical investigation conducted to provide stakeholders with information about the quality of the product or service under test. 
,,,·       Software maintenance: This deals with enhancements of Software systems to solve the problems the may have after being used for a long time after they are first completed. 
,,,·       Software configuration management: is the task of tracking and controlling changes in the software. Configuration management practices include revision control and the establishment of baselines. 
,,,·       Software engineering management: The management of software systems borrows heavily from project management.
,,,"·       Software development process: A software development process is a structure imposed on the development of a software product. There are several models for such processes, each describing approaches to a variety of tasks or activities that take place during the process. "
,,,"·       Software engineering tools, (CASE which stands for Computer Aided Software Engineering) CASE tools are a class of software that automates many of the activities involved in various life cycle phases. "
,,,·       Software quality: The totality of functionality and features of a software product that bear on its ability to satisfy stated or implied needs.
120.                   ,,Goals,"Stated requirements when they are initially specified for systems are usually incomplete. Apart from accomplishing these stated requirements, a good software system must be able to easily support changes to these requirements over the system's life. Therefore, a major goal of software engineering is to be able to deal with the effects of these changes. "
,,,The software engineering goals include: 
,,,·       Maintainability: Changes to software without increasing the complexity of the original system design should be possible. 
,,,"·       Reliability: The software should be able to prevent failure in design and construction as well as recover from failure in operation. In other words, the software should perform its intended function with the required precision at all times. "
,,,·       Efficiency: The software system should use the resources that are available in an optimal manner. 
,,,"·       Understand ability: The software should accurately model the view the reader has of the real world. Since code in a large, long-lived software system is usually read more times than it is written, it should be easy to read at the expense of being easy to write, and not the other way around."
121.                   ,ALGORITHM,An Algorithm,"An Algorithm is any well-defined computational procedure that takes some value, or set of values, as input and produces some value, or set of values, as output. An Algorithm is thus a Sequence of computational steps that transform the Input into the Output."
122.                   ,,Data structure,"A Data Structure is a way to store and organize data in order to facilitate access and modifications. No single data structure works well for all purposes, and so it is important to know the strengths and limitations of several of them."
123.                   ,,Analyzing an algorithm,"Analyzing an Algorithm has come to mean predicting the resources that the algorithm requires. Occasionally, resources such as memory, communication bandwidth, or computer hardware are of primary concern, but most often it is computational time that we want to measure. Generally, by analyzing several candidate algorithms for a problem, we can identify a most efficient one. Such analysis may indicate more than one viable candidate, but we can often discard several inferior algorithms in the process."
124.                   ,,A function,"A function ƒ(n) is monotonically increasing if m ≤ n implies ƒ(m)≤ ƒ(n). Similarly, it is monotonically decreasing if m ≤ n implies ƒ(m) ≥ ƒ(n). A ƒ(n) is strictly increasing if m < n implies ƒ(m) < ƒ(n) and strictly decreasing if m < n implies ƒ(n) > ƒ(n)."
125.                   ,,An Algorithm ,"An algorithm is a procedure used for solving a problem or performing a computation. Algorithms act as an exact list of instructions that conduct specified actions step by step in either hardware- or software-based routines. Algorithms are widely used throughout all areas of IT. In mathematics, computer programming and computer science, an algorithm usually refers to a small procedure that solves a recurrent problem. Algorithms are also used as specifications for performing data processing and play a major role in automated systems. An algorithm could be used for sorting sets of numbers or for more complicated tasks, such as recommending user content on social media. Algorithms typically start with initial input and instructions that describe a specific computation. When the computation is executed, the process produces an output."
126.                   ,,Lung cancer,"Lung cancer is an unpreventable disease whose early detection is essential for patient survival. Several existing models and approaches for predicting high-risk lung cancer patients have been developed but despite these advancements, there is a need for a more comprehensive and holistic approach that considers a wide range of factors to provide a well-rounded risk assessment by including environmental exposures, lifestyle choices, and emerging biomarkers. This research aims to develop a predictive model that will accurately and efficiently identify high-risk Lung cancer patients using logistic regression, deep learning models and explainable AI. We intend to combine data that are publicly available from sources such as TCGA, CDC, WHO, NIH Data Repositories etc. with radiological images and laboratory test results obtained from Lagos State Teaching Hospital. Python library, pydicom will be used for feature extraction. Confusion matrix and associated classification metrics will be used for the model evaluation."
,,,
127.                   ,,Brute-force Approach,"This strategy is characterised by a lack of sophistication in terms of their approach to the solution. It typically takes the most direct or obvious route, without attempting to minimise the number of operations required to compute the solution. Brute-force approach is considered quite often in the course of searching. In a searching problem, we are required to look through a list of candidates in an attempt to find a desired object. In many cases, the structure of the problem itself allows us to eliminate a large number of the candidates without having to actually search through them. As an analogy, consider the problem of trying to find a frozen pie in an unfamiliar grocery store. You would immediately go to the frozen food aisle, without bothering to look down any of the other aisles. Thus, at the outset of your search, you would eliminate the need to search down most of the aisles in the store. Brute force approach, however, ignores such possibilities and naively searches through all candidates in an attempt to find the desired object. This approach is otherwise known as exhaustive search."
128.                   ,,Divide-and-conquer Approach,"In the divide and conquer strategy, a problem is solved recursively by applying three steps at each level of the recursion: Divide, conquer, and combine."
,,,"Ø  Divide: “Divide” is the first step of the divide and conquer strategy. In this step the problem is divided into smaller sub-problems until it is small enough to be solved. At this step, sub-problems become smaller but still represent some part of the actual problem. As stated above, recursion is used to implement the divide and conquer algorithm. A recursive algorithm calls itself with smaller or simpler input values, known as the recursive case. So, when the divide step is implemented, the recursive case is determined which will divide the problem into smaller subproblems. Then comes the “conquer” step where we straightforwardly solve the sub-problems. By now, the input has already been divided into the smallest possible parts and we’re now going to solve them by performing basic operations. The conquer step is normally implemented with recursion by specifying the recursive base case. Once the sub-problems become small enough that it can no longer be divided, we say that the recursion “bottoms out” and that we’ve gotten down to the base case. Once the base case is arrived at, the sub-problem is solved."
,,,"Ø  Combine: In this step, the solution of the sub-problems is combined to solve the whole problem. The output returned from solving the base case will be the input of larger sub-problems. So after reaching the base case we will begin to go up to solve larger sub-problems with input returned from smaller sub-problems. In this step, we merge output from the conquer step to solve bigger sub-problems. Solutions to smaller sub-problems propagate from the bottom up until they are used to solve the whole original problem."
,,,
129.                   ,,Dynamic Programming Approach,"Dynamic programming approach is similar to divide-and-conquer in that both solve problems by breaking it down into several sub-problems that can be solved recursively. The difference between the two is that in the dynamic programming approach, the results obtained from solving smaller sub-problems are reused in the calculation of larger sub-problems. Thus, dynamic programming is a bottom-up technique that usually begins by solving the smallest sub=problems, saving these results and then reusing them to solve larger and larger subproblems until the solution to the original problem is obtained. This is in contrast to the divideand-conquer approach, which solves problems in a top-down fashion. In this case the original problem is solved by breaking it down into increasingly smaller sub-problems, and no attempt is made to reuse previous results in the solution of any of the sub-problems."
,,,"It is important to realise that a dynamic programming approach is only justified if there is some degree of overlap in the sub-problems. The underlying idea is to avoid calculating the same result twice. This is usually accomplished by constructing a table in memory, and filling it with known results as they are calculated (memoization). These results are then used to solve larger sub-problems. Note that retrieving a given result from this table takes ?(1) time. "
,,,"Dynamic programming is often used to solve optimization problems. In an optimization problem, there are typically large number of possible solutions, and each has a cost associated with it. The goal is to find a solution that has the smallest cost (i.e., optimal solution)."
130.                   ,,Greedy Algorithm Approach,"In a greedy algorithm, at each decision point the choice that has the smallest immediate (i.e., local) cost is selected, without attempting to look ahead to determine if this choice is part of our optimal solution to the problem as a whole (i.e., a global solution). By locally optimal, we mean a choice that is optimal with respect to some small portion of the total information available about a problem. "
,,,"The most appealing aspect of greedy algorithm is that they are simple and efficient – typically very little effort is required to compute each local decision. However, for general optimization problems, it is obvious that this strategy will not always produce globally optimal solutions. Nevertheless, there are certain optimization problems for which a greedy strategy is, in fact, guaranteed to yield a globally optimal solution."
131.                   ,,Randomized Approach,"This approach is dependent not only on the input data, but also on the values provided by a random number generator. If some portion of an algorithm involves choosing between a number of alternatives, and it is difficult to determine the optimal choice, then it is often more effective to choose the course of action at random rather than taking the time to determine the vest alternative. This is particularly true in cases where there are a large number of choices, most of which are “good.” "
,,,"Although randomizing an algorithm will typically not improve its worst-case running time, it can be used to ensure that no particular input always produces the worst-case behavior. Specifically, because the behavior of a randomized algorithm is determined by a sequence of random numbers, it would be unusual for the algorithm to behave the same way on successive runs even when it is supplied with the same input data. "
,,,Randomized approaches are best suited in game-theoretic situations where we want to ensure fairness in the face of mutual suspicion. This approach is widely used in computer and information security as well as in various computer-based games.
132.                   ,,Steps Involved in Algorithm Development,"An algorithm can be defined as “a complete, unambiguous, finite number of logical steps for solving a specific problem “ "
,,,"Step1. Identification of input: For an algorithm, there are quantities to be supplied called input and these are fed externally. The input is to be identified first for any specified problem. "
,,,"Step2: Identification of output: From an algorithm, at least one quantity is produced, called for any specified problem. "
,,,Step3: Identify the processing operations: All the calculations to be performed in order to lead to output from the input are to be identified in an orderly manner.
,,,Step4: Processing Definiteness: The instructions composing the algorithm must be clear and there should not be any ambiguity in them. 
,,,"Step5: Processing Finiteness: If we go through the algorithm, then for all cases, the algorithm should terminate after a finite number of steps. "
,,,Step6: Possessing Effectiveness: The instructions in the algorithm must be sufficiently basic and in practice they can be carries out easily.
133.                   ,,Concept of Flowcharts,"A flowchart is a visual representation of an algorithm. A flowchart is a diagram made up of boxes, diamonds and other shapes, connected by arrows. Each shape represents a step of the solution process and the arrow represents the order or link among the steps. It is a diagram that shows each step or progression through a process. A well-made flowchart can be used to break big ideas into small, bite-sized pieces that are expressed visually, so knowing how to make one is sort of like having a universal language. Being able to flowchart makes it possible to communicate with any stakeholder or audience, because visuals are typically easier to understand than words. For this reason, flowcharts are a valuable type of business diagram but can also be used for more technical fields like manufacturing or software engineering."
134.                   ,,Memory Allocation,"Memory allocation is the process of assigning blocks of memory on request. Typically, the allocator receives memory from the operating system in a small number of large blocks that it must divide up to satisfy the requests for smaller blocks. It must also make any returned blocks available for reuse. There are many common ways to perform this, with different strengths and weaknesses. A few are described briefly here:"
,,,"Ø  First Fit: In the first fit algorithm, the allocator keeps a list of free blocks (known as the freelist) and, on receiving a request for memory, scans along the list for the first block that is large enough to satisfy the request. If the chosen block is significantly larger than that requested, then it is usually split, and the remainder added to the list as another free block. The first fit algorithm performs reasonably well, as it ensures that allocations are quick. When recycling free blocks, there is a choice as to where to add the blocks to the list effectively in order the free list is kept:"
,,,"Ø  Best Fit The best fit is the allocation policy that always allocates from the smallest suitable free block. Suitable allocation mechanisms include sequential fit searching for a perfect fit, first fit on a size-ordered free block chain, segregated fits, and indexed fits. Many good fit allocators are also described as best fit. In theory, best fit may exhibit bad fragmentation, but in practice, this is not commonly observed."
,,,"Ø  Buddy System: In a buddy system, the allocator will only allocate blocks of certain sizes, and has many free lists, one for each permitted size. The permitted sizes are usually either powers of two, or form a Fibonacci sequence (see below for example), such that any block except the smallest, can be divided into two smaller blocks of permitted sizes."
,,,Ø  Sub-allocators: There are many examples of application programmes that include additional memory management code called a sub-allocator. A sub-allocator obtains large blocks of memory from the system memory manager and allocates the memory to the application in smaller pieces. Sub-allocators are usually written for one of the following reasons: To avoid general inefficiency in the system memory manager; To take advantage of special knowledge of the application's memory requirements that cannot be expressed to the system memory manager; To provide memory management services that the system memory manager does not supply.
135.                   ,,What is a Package?,"A package is a namespace for organizing classes and interfaces in a logical manner. Placing your code into packages makes large software projects easier to manage. This section explains why this is useful, and introduces you to the Application Programming Interface (API) provided by the Java platform. "
,,,"Conceptually, you can think of packages as being similar to different folders on your computer. You might keep HTML pages in one folder, images in another, and scripts or applications in yet another. Because software written in the Java programming language can be composed of hundreds or thousands of individual classes, it makes sense to keep things organized by placing related classes and interfaces into packages. The Java platform provides an enormous class library (a set of packages) suitable for use in your own applications. This library is known as the ""Application Programming Interface” or “API for short. Its packages represent the tasks most commonly associated with general-purpose programming. For example, a String object contains state and behaviour for character strings; a File object allows a programmer to easily create, delete, inspect, compare, or modify a file on the file system; a Socket object allows for the creation and use of network sockets; various GUI objects control buttons and checkboxes and anything else related to graphical user interfaces. There are literally thousands of classes to choose from. This allows you, the programmer, to focus on the design of your particular application, rather than the infrastructure required to make it work."
136.                   ,,Object-Oriented Programming,"Object-oriented programming (OOP) is a programming language model organised around ""objects"" rather than ""actions"" and data rather than logic. "
,,,"Historically, a programme has been viewed as a logical procedure that takes input data, processes it, and produces output data. The programming challenge was seen as how to write the logic, not how to define the data. Object-oriented programming takes the view that what we really care about are the objects we want to manipulate rather than the logic required to manipulate them. Examples of objects range from human beings (described by name, address, and so forth) to buildings and floors (whose properties can be described and managed) down to the little widgets on your computer desktop (such as buttons and scroll bars)."
,,,"The first step in OOP is to identify all the objects you want to manipulate and how they relate to each other, an exercise often known as data modeling. Once you've identified an object, you generalise it as a class of objects (think of Plato's concept of the ""ideal"" chair that stands for all chairs) and define the kind of data it contains and any logic sequences that can manipulate it. Each distinct logic sequence is known as a method. A real instance of a class is called (no surprise here) an ""object"" or, in some environments, an ""instance of a class."" The object or class instance is what you run in the computer. Its methods provide computer instructions and the class object characteristics provide relevant data. You communicate with objects - and they communicate with each other - with well-defined interfaces called messages."
137.                   ,,Java Programming Variables,"In the Java programming language, the terms ""field"" and ""variable"" are both used; this is a common source of confusion among new developers, since both often seem to refer to the same thing. "
,,,The Java programming language defines the following kinds of variables: 
,,,"Ø  Instance Variables (Non-Static Fields): Technically speaking, objects store their individual states in ""non-static fields"", that is, fields declared without the static keyword. Non-static fields are also known as instance variables because their values are unique to each instance of a class (to each object, in other words); the currentSpeed of one bicycle is independent of the currentSpeed of another."
,,,"Ø  Class Variables (Static Fields): A class variable is any field declared with the static modifier; this tells the compiler that there is exactly one copy of this variable in existence, regardless of how many times the class has been instantiated. A field defining the number of gears for a particular kind of bicycle could be marked as static since conceptually, the same number of gears will apply to all instances. The code, static int numGears = 6; would create such a static field. Additionally, the keyword final could be added to indicate that the number of gears will never change."
,,,"Ø  Local Variables: Similar to how an object stores its state in fields, a method will often store its temporary state in local variables. The syntax for declaring a local variable is similar to declaring a field (for example, int count = 0;). There is no special keyword designating a variable as local; that determination comes entirely from the location in which the variable is declared — which is between the opening and closing braces of a method. As such, local variables are only visible to the methods in which they are declared; they are not accessible from the rest of the class. "
,,,"Ø  Parameters: You've already seen examples of parameters, both in the Bicycle class and in the main method of the ""Hello World!"" application. Recall that the signature for the main method is public static void main (String [] args). Here, the args variable is the parameter to this method. The important thing to remember is that parameters are always classified as ""variables"" not ""fields""."
138.                   ,,Naming Conventions,"Every programming language has its own set of rules and conventions for the kinds of names that you're allowed to use, and the Java programming language is no different. The rules and conventions for naming your variables can be summarised as follows: "
,,,"Variable names are case-sensitive. A variable's name can be any legal identifier — an unlimited-length sequence of Unicode letters and digits, beginning with a letter, the dollar sign ""$"", or the underscore character ""_"". The convention, however, is to always begin your variable names with a letter, not ""$"" or ""_"". Additionally, the dollar sign character, by convention, is never used at all. You may find some situations where auto-generated names will contain the dollar sign, but your variable names should always avoid using it. A similar convention exists for the underscore character; while it's technically legal to begin your variable's name with ""_"", this practice is discouraged. White space is not permitted."
,,,"Subsequent characters may be letters, digits, dollar signs, or underscore characters. Conventions (and common sense) apply to this rule as well. When choosing a name for your variables, use full words instead of cryptic abbreviations. Doing so will make your code easier to read and understand. In many cases, it will also make your code selfdocumenting; fields named cadence, speed, and gear, for example, are much more intuitive than abbreviated versions, such as s, c, and g. "
,,,Also keep in mind that the name you choose must not be a keyword or reserved word.
139.                   ,,Characteristics of Algorithm,An algorithm must possess following characteristics: 
,,,1.     Precision — the steps are precisely stated or defined. 
,,,2.     Uniqueness — results of each step are uniquely defined and only depend on the input and the result of the preceding steps. 
,,,3.     Finiteness — the algorithm always stops after a finite number of steps. 
,,,4.     Input — the algorithm receives some input. 
,,,5.     Output — the algorithm produces some output.
140.                   ,,Concept of Flowcharts,"A flowchart is a visual representation of an algorithm. A flowchart is a diagram made up of boxes, diamonds and other shapes, connected by arrows. Each shape represents a step of the solution process and the arrow represents the order or link among the steps. It is a diagram that shows each step or progression through a process. "
,,,"A well-made flowchart can be used to break big ideas into small, bite-sized pieces that are expressed visually, so knowing how to make one is sort of like having a universal language. Being able to flowchart makes it possible to communicate with any stakeholder or audience, because visuals are typically easier to understand than words. For this reason, flowcharts are a valuable type of business diagram but can also be used for more technical fields like manufacturing or software engineering."
141.                   ,Data Base Management System,Advantages of a DBMS,"A DBMS can provide: a. Data Consistency and Integrity - by controlling access and minimizing data duplication b. Application program independence - by storing data in a uniform fashion c. Data Sharing - by controlling access to data items, many users can access data concurrently d. Backup and Recovery e. Security and Privacy f. Multiple views of data"
142.                   ,,Categories of Database Management Systems (DBMS),"Database management systems are categorised according to their data structures and types. Well known types are relational, hierarchical, and object-oriented."
,,,"Ø  Relational Database Management System (RDBMS): The Relational database management system organises data in tabular files. Most modern Database Management Systems (Oracle, Sybase, and Microsoft SQL Server) are relational databases. These databases support a standard language - SQL (Structured Query Language)."
,,,Ø  Hierarchical Database Management System (RDBMS): This category of database management system stores data in a tree-like structure.
,,,Ø  Object-Oriented Database Management System (RDBMS): The Object-Oriented database management system stores objects as opposed to tuples or records in a RDBMS. DBMSs are categorized according to their data structures or types.
143.                   ,,A file,A File is a collection of or log of records. Having stored the records in a file it is necessary to access these records using either a primary or secondary key. The type and frequency of access required determines the type of file organization to be used for a given set of records.
144.                   ,,,"A sequential (or sorted on primary keys) file that is indexed is called an index sequential file. The index provides for random access to records, while the sequential nature of the file provides easy access to the subsequent records as well as sequential processing. An additional feature of this file system is the overflow area. This feature provides additional space for record addition without necessitating the creation of a new file."
145.                  8,,,"In a sequential file, records are maintained in the logical sequence of their primary key value. The search for a given record requires, on average, access to half the records in the file. Update operations, including the appending of a new record, require creation of a new file. Updates could be batched and a transaction file of updates used to create a new master file from the existing one .This scheme automatically creates a backup copy of the file."
146.                  9,,Sequential file,"Access to a sequential file can be enhance by creating an index. The index provides random access to records and the sequential nature of the file provides easy access to the next record. To avoid frequent reorganization, an index sequential file uses overflow areas. This scheme provides space for the addition of records without the need for the creation of a new file. In index sequential organization, it is the usual practice to have a hierarchy of indexes with the lowest level index pointing to the records while the higher level ones point to the index below them."
147.                  9,,Properties of database,A Database has the following implicit properties: 
,,,"1) A Database represents some aspect of the real world, sometimes called the mini world or the Universe of Discourse (UOD). Changes to the mini world are reflected in the database. "
,,,2) A Database is a logically coherent collection of data with some inherent meaning. A random assortment of data cannot correctly be referred to as a database. 
,,,"3) A Database is designed, built and populated with data for a specific purpose. It "
,,,has an intended group of users and some pre-convinced applications in which 
,,,these users are interested
,,,
,,,
148.                  9,,Database,"A Database may be generated and maintained manually, or by machine. The Library card catalog is an example of database that may be manually created and maintained. A Computerized Database may be created and maintained either by a group of application programs written specifically for that task or by a database management system"
149.                  9,,DBMS,"A Database Management System (DBMS) is a set of software programs that controls the organization, storage, management, and retrieval of data in a database. The DBMS accepts requests for data from an application program and instructs the operating system to transfer the appropriate data. The queries and responses must be submitted and received according to a format that conforms to one or more applicable protocols. When a DBMS is used, information systems can be changed much more easily as the organization’s information requirements change. New categories of data can be added to the database without disruption to the existing system."
,,,"A Database Management System can simply be defined as a set of software programs that controls the organization, storage, management, and retrieval of data in a database. Typical examples of Database Management Systems include Oracle Database, Microsoft SQL Server, and PostgreSQL. Nowadays, a small number of DBMSs are used by the great majority of database applications to manage practically all the world‘s databases"
,,,
150.                  9,,A Storage manager,"A Storage Manager is a Program module that provides the interface between the low level data stored in the database and the application programs and queries submitted to the system. It is also responsible for interaction with the File Manager. The Raw data are stored on the disk using the file system, which is usually provided by a conventional Operating System. The Storage Manager translates the various DML statements into low-level file-system commands. Thus the Storage Manager is responsible for storing, retrieving and updating data in the database. "
151.                  9,,Relation,The Relation is the only Data Structure used in the relational data model to represent both Entities and Relationships between them. Rows of the relation are referred to as Tuples of the relation and columns are its Attributes. Each Attribute of the column is drawn from the set of values known as Domain. The Domain of an attribute contains the set of values that the attribute may assume.
152.                  9,,An Entity,An Entity Set is a set of entities of the same type that share the same properties or attributes. The set of all persons who are students at a given institute can be defined as an entity set student. Similarly entity set loan might represent set of all loans awarded by a particular bank. The individual entities that constitute a set are said to be the extension of the entity set. E
153.                   ,,Components of Database Management System (DBMS),"A Database Management System (DBMS) includes four main parts: modeling language, data structure, database query language, and transaction mechanisms. We will look at these components in the subsequent units."
,,,"Ø  Modeling Language The first component of a database management system is the implementation of a modeling language that serves to define the language of each database hosted via the DBMS. There are several approaches currently in use, with hierarchical, network, relational, and object examples. Essentially, the modeling language ensures the ability of the databases to communicate with the DBMS and thus operate on the system."
,,,"Ø  Data Query Language A third component of DBMS software is the data query language. This element is involved in maintaining the security of the database, by monitoring the use of login data, the assignment of access rights and privileges, and the definition of the criteria that must be employed to add data to the system. The data query language works with the data structures to make sure it is harder to input irrelevant data into any of the databases in use on the system."
,,,"Ø  Transaction Mechanism A database transaction mechanism ideally guarantees ACID properties in order to ensure data integrity despite concurrent user accesses (concurrency control), and faults (fault tolerance). It also maintains the integrity of the data in the database. The DBMS can maintain the integrity of the database by not allowing more than one user to update the same record at the same time. The DBMS can help prevent duplicate records via unique index constraints; for example, no two customers with the same customer numbers (key fields) can be entered into the database."
,,,
154.                   ,,The E-R Model,"The entity-relationship model is based on a perception of the world as consisting of a collection of basic objects (entities) and relationships among these objects. In order to grasp the full notion of this model, we would describe some of the key terms highlighted above. An entity is a distinguishable object that exists. Each entity has associated with it a set of attributes describing it. E.g. number and balance for an account entity. On the other hand a relationship is an association among several entities. For example, a cust_acct relationship associates a customer with each account he or she has. Thus, the set of all entities or relationships of the same type is called the entity set or relationship set. Another essential element of the E-R diagram is the mapping cardinalities, which express the number of entities to which another entity can be associated with via a relationship set. We will see later how well this model works to describe real world situations. The overall logical structure of a database can be expressed graphically by an E-R diagram"
